rank,tier,score,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,deduct_ratio,ocf_to_profit,debt_ratio,goodwill_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,mktcap_yi,risk_notes,fail_reasons
1,A_可买入,82.51,688336,三生国健,53.10,5310,生物制品,4,41.3,92.1,69.0,311.5,288.9,0.95,1.05,6.1,0.0,16.00,0.06,6.25,295.1,46.7,5.70,475.9,动态PE远高于TTM(盈利或下滑),
2,-,81.62,688648,中邮科技,36.55,3654,专用设备,0,33.5,8.2,45.2,523.9,99.4,-0.23,-0.37,37.0,0.0,8.04,0.08,12.44,111.8,73.2,2.31,49.7,扣非比-23%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR),现金流/利润<0.8; 毛利<30.0
3,-,80.95,002612,朗姿股份,11.21,1121,服装家纺,0,31.6,59.6,16.6,283.4,260.3,0.27,0.45,52.9,0.5,5.21,0.02,19.19,279.5,82.6,1.76,49.6,扣非比27%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8
4,-,80.03,600841,动力新科,6.10,610,汽车零部件,0,58.0,8.3,50.0,243.7,,-0.29,0.18,40.6,0.0,2.71,0.01,36.90,280.6,91.0,1.32,84.7,扣非比-29%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
5,-,76.07,000004,国华退,0.34,34,软件开发,0,9.6,81.0,3.7,104.9,,-2.50,4.65,71.0,0.0,3.82,0.04,26.18,131.1,87.3,0.52,0.5,扣非比-250%(含较多一次性收益),ST/退市; 负债率≥70.0%; ROE<15.0; 净利率<10.0; CAGR<10.0
6,A_可买入,74.8,002170,芭田股份,10.86,1086,农化制品,4,25.9,35.6,18.0,122.8,95.9,1.00,1.61,35.1,0.0,10.39,0.11,9.62,105.5,65.4,3.01,105.4,,
7,-,74.65,601628,中国人寿,35.35,3535,保险Ⅱ,0,27.8,,25.0,44.1,32.2,1.00,2.99,92.0,0.0,6.90,0.21,14.49,46.7,77.0,1.67,9991.6,,负债率≥70.0%; 毛利<30.0; PE高于行业中位
8,A_可买入,74.51,600988,赤峰黄金,26.32,2632,贵金属,4,27.1,52.5,24.4,74.7,89.8,0.99,1.73,33.9,0.0,13.94,0.19,7.17,81.9,53.5,3.66,500.2,,
9,-,74.38,000151,中成股份,10.70,1070,贸易Ⅱ,0,65.5,15.3,31.8,217.7,,-0.16,-0.69,73.4,0.0,9.48,0.04,10.55,228.2,68.4,4.29,37.5,扣非比-16%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; CAGR<10.0
10,-,73.96,601336,新华保险,59.66,5966,保险Ⅱ,0,34.7,,23.0,38.3,19.1,0.94,3.06,94.1,0.0,5.04,0.26,19.84,38.9,73.6,1.51,1861.1,,负债率≥70.0%; 毛利<30.0
11,A_可买入,73.41,300573,兴齐眼药,40.76,4076,化学制药,4,38.5,81.2,28.1,105.8,48.7,1.00,1.08,22.1,0.0,19.26,0.40,5.19,53.9,35.8,7.51,145.6,,
12,C_接近合格,73.26,601899,紫金矿业,25.14,2514,工业金属,1,33.0,27.7,14.8,61.5,37.2,0.98,1.45,51.6,0.0,10.84,0.29,9.23,46.4,63.9,3.53,6684.9,,毛利<30.0
13,-,73.0,000752,*ST西发,7.92,792,非白酒,0,34.8,42.1,33.2,449.7,,0.17,0.92,18.7,0.0,14.44,0.03,6.93,456.6,51.9,3.36,20.9,扣非比17%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),ST/退市; CAGR<10.0
14,-,72.9,002582,好想你,8.45,844,休闲食品,0,23.1,29.1,65.2,1303.6,,-0.07,0.13,29.9,0.0,1.95,0.00,51.28,1354.9,93.5,0.78,37.8,扣非比-8%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
15,-,71.79,605599,菜百股份,13.70,1370,饰品,1,26.5,8.3,3.9,57.6,35.0,0.90,1.75,50.6,0.0,8.79,0.25,11.38,46.4,70.7,2.39,106.6,,毛利<30.0; 净利率<10.0
16,A_可买入,71.3,300533,冰川网络,16.40,1639,游戏Ⅱ,4,32.9,93.3,18.9,295.6,55.4,0.88,1.40,44.8,0.0,18.89,0.34,5.29,60.7,37.0,4.18,53.8,增速或为单年爆发(同比远高于CAGR),
17,-,71.07,000600,建投能源,8.75,875,电力,1,16.6,26.6,8.2,253.7,160.3,0.97,2.89,59.2,0.0,7.76,0.05,12.89,173.2,74.1,1.31,157.8,,毛利<30.0; 净利率<10.0
18,A_可买入,70.47,688330,宏力达,33.83,3383,电网设备,4,15.6,52.2,98.0,186.3,26.0,0.28,1.00,7.0,0.0,7.51,0.29,13.32,39.4,71.2,1.09,47.4,扣非比28%(含较多一次性收益); 增速或为单年爆发(同比远高于CAGR); 动态PE远高于TTM(盈利或下滑),
19,-,69.2,002058,威尔泰,20.13,2013,通用设备,0,451.1,26.0,24.8,8813.2,,0.04,0.05,73.4,0.0,13.61,0.00,7.35,8820.5,54.6,45.58,28.9,扣非比4%(含较多一次性收益); 动态PE远高于TTM(盈利或下滑),现金流/利润<0.8; 负债率≥70.0%; 毛利<30.0; CAGR<10.0
20,-,68.8,002393,力生制药,14.19,1419,化学制药,0,8.5,55.3,29.9,125.6,64.4,0.40,0.59,16.5,0.0,10.62,0.16,9.42,73.9,64.6,0.98,43.8,扣非比40%(含较多一次性收益),现金流/利润<0.8; ROE<15.0
21,-,68.43,000656,*ST金科,1.07,107,房地产开发,0,,14.2,426.0,191.7,,-1.21,-0.06,68.0,0.0,0.37,0.00,270.27,462.0,98.8,2.75,113.3,扣非比-121%(含较多一次性收益),ST/退市; 现金流/利润<0.8; ROE<15.0; 毛利<30.0; CAGR<10.0
22,C_接近合格,67.97,603173,福斯达,33.90,3390,专用设备,1,23.5,26.3,14.0,61.3,43.7,0.97,2.14,64.6,0.0,13.63,0.31,7.34,51.1,54.6,2.78,54.2,,毛利<30.0
23,-,67.42,920106,林泰新材,37.40,3740,汽车零部件,0,27.6,47.9,33.6,74.2,78.6,0.95,0.68,19.6,0.0,16.80,0.23,5.95,80.2,44.0,3.70,21.2,,现金流/利润<0.8
24,C_接近合格,67.23,300043,星辉娱乐,4.35,434,游戏Ⅱ,1,18.9,57.6,14.4,165.9,,0.83,1.81,37.3,0.2,13.50,0.08,7.41,173.3,55.0,3.14,54.1,,CAGR<10.0
25,B_优质待跌,67.01,688578,艾力斯,109.20,10920,化学制药,2,35.4,96.8,42.2,53.1,156.0,0.92,1.06,10.4,0.0,20.35,0.38,4.91,58.0,32.2,6.57,491.4,,盈利收益率≤5.0%
26,-,67.0,300773,拉卡拉,15.30,1530,多元金融,0,30.4,25.3,21.1,233.3,,0.26,0.52,66.2,0.1,9.99,0.04,10.01,243.3,66.7,3.65,166.4,扣非比26%(含较多一次性收益),现金流/利润<0.8; 毛利<30.0; CAGR<10.0
27,-,66.84,002926,华西证券,8.17,817,证券Ⅱ,0,6.1,,31.9,102.0,51.6,1.00,5.38,76.5,0.0,13.72,0.27,7.29,58.8,54.3,0.85,214.5,,负债率≥70.0%; ROE<15.0; 毛利<30.0
28,-,66.76,600011,华能国际,7.59,759,电力,1,19.0,18.4,6.3,42.2,,0.92,5.79,65.3,0.1,8.56,0.20,11.68,53.9,71.5,1.87,1191.5,,毛利<30.0; 净利率<10.0; CAGR<10.0
