rank,status,basic_status,enhanced_status,final_action,code,name,stock_code,stock_name,price,premium_rt,double_low,rating,remaining_scale,remaining_years,change_pct,maturity_date,convert_price,convert_value,stock_price,pb,turnover,risk_reasons,enhanced_reasons,maturity_redeem_price,maturity_yield_est,call_gap_pct,put_gap_pct,down_revision_gap_pct,has_conditional_resale,source
1,剔除,剔除,增强排除,排除,118071,华峰转债,688200,华峰测控,100.0,-36.56,63.44,AA,7.49475,5.979,,2032-06-23 00:00:00,336.12,157.6372,529.85,26.37,749475000.0,未上市/待上市,未上市/待上市,110.0,1.67,-17.53,55.59,85.46,True,eastmoney_datacenter+quote_board
2,剔除,剔除,增强排除,排除,128119,龙大转债,002726,ST龙大,62.963,0.64,63.603,CCC,7.853840001270587,0.033,4.42,2026-07-13 00:00:00,1.95,62.5641,1.22,2.04,494501328.0,正股或转债含 ST/退/R 标记；评级低于AA-；剩余期限<0.5年；存在未来赎回/摘牌执行日,正股或转债含 ST/退/R 标记；评级低于AA-；剩余期限<0.5年；存在未来赎回/摘牌执行日,115.0,2504.45,108.2,-12.3,-26.4,True,eastmoney_datacenter+quote_board
3,剔除,剔除,增强排除,排除,118070,南芯转债,688484,南芯科技,100.0,-16.4,83.6,AA+,15.86881,5.966,,2032-06-18 00:00:00,43.84,119.6168,52.44,5.51,1586881000.0,未上市/待上市,未上市/待上市,108.0,1.34,8.68,41.48,40.73,True,eastmoney_datacenter+quote_board
4,剔除,剔除,增强排除,排除,118027,宏图转债,688066,*ST航图,93.294,-0.65,92.644,B-,9.817908000514503,2.412,3.15,2028-11-28 00:00:00,13.12,93.9024,12.32,-2.66,915951909.0,正股或转债含 ST/退/R 标记；评级低于AA-,正股或转债含 ST/退/R 标记；评级低于AA-,115.0,9.65,38.47,25.49,10.47,True,eastmoney_datacenter+quote_board
5,剔除,剔除,增强排除,排除,113706,金帝转债,603270,金帝股份,100.0,-7.21,92.79,AA,9.7,5.958,,2032-06-15 00:00:00,30.62,107.7727,33.0,3.18,970000000.0,未上市/待上市,未上市/待上市,115.0,2.52,20.64,35.06,26.79,True,eastmoney_datacenter+quote_board
6,剔除,剔除,增强排除,排除,127114,宜化转债,000422,湖北宜化,100.0,-6.45,93.55,AA+,33.0,5.988,,2032-06-26 00:00:00,14.08,106.8892,15.05,2.75,3300000000.0,未上市/待上市,未上市/待上市,110.0,1.67,21.59,34.49,25.75,True,eastmoney_datacenter+quote_board
7,剔除,剔除,增强排除,排除,110081,闻泰转债,600745,*ST闻泰,93.898,0.35,94.248,BBB+,80.59988400178918,1.073,1.51,2027-07-28 00:00:00,18.36,93.573,17.18,0.91,7568167908.0,正股或转债含 ST/退/R 标记；评级低于AA-,正股或转债含 ST/退/R 标记；评级低于AA-,108.0,14.0,38.94,25.2,10.09,True,eastmoney_datacenter+quote_board
8,剔除,剔除,增强排除,排除,113704,春风转债,603129,春风动力,100.0,-5.48,94.52,AA+,21.78763,5.944,,2032-06-10 00:00:00,241.7,105.7923,255.7,5.33,2178763000.0,未上市/待上市,未上市/待上市,108.0,1.35,22.88,33.83,24.46,True,eastmoney_datacenter+quote_board
9,剔除,剔除,增强排除,排除,110092,三房转债,600370,*ST三房,68.713,27.31,96.023,A-,21.18546199409137,2.519,-3.23,2029-01-06 00:00:00,3.02,53.9735,1.63,1.33,1455716650.0,正股或转债含 ST/退/R 标记；评级低于AA-,正股或转债含 ST/退/R 标记；评级低于AA-,110.0,23.85,141.1,-29.45,-36.5,True,eastmoney_datacenter+quote_board
10,剔除,剔除,增强排除,排除,404005,普利退债,400266,R普利1,100.0,0.0,100.0,,8.5,0.611,,2027-02-09 00:00:00,3.0,,,,,不在实时转债行情板块/可能未正常交易；未上市/待上市；正股或转债含 ST/退/R 标记；评级低于AA-,不在实时转债行情板块/可能未正常交易；未上市/待上市；正股或转债含 ST/退/R 标记；评级低于AA-,118.0,29.46,,,,True,eastmoney_datacenter+quote_board
