rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,pe_dyn,peg,eyield,exp_ret,discount,pb,market_cap_yi_hkd,fail_reasons
1,-,33.88,hk,08646,中国宏光,0.29,29,港股,1,,,,,,,,3.66,3.66,,27.32,,0.0,0.41,2.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
2,-,33.88,hk,08637,元续科技,3.71,371,港股,1,,,,,,,,9.11,9.11,,10.98,,0.0,1.15,5.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
3,-,33.88,hk,08619,NIU HOLDINGS,0.14,13,港股,1,,,,,,,,1.02,1.02,,98.04,,0.0,0.09,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
4,-,33.88,hk,08601,宝燵控股,0.23,23,港股,1,,,,,,,,8.22,8.22,,12.17,,0.0,1.25,1.9,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
5,-,33.88,hk,08537,创辉珠宝,0.16,16,港股,1,,,,,,,,3.59,3.59,,27.86,,0.0,0.45,0.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
6,-,33.88,hk,08512,凯富善集团控股,0.40,39,港股,1,,,,,,,,3.58,3.58,,27.93,,0.0,0.48,3.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
7,-,33.88,hk,08509,威扬酒业控股,0.61,61,港股,1,,,,,,,,6.42,6.42,,15.58,,0.0,0.71,2.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
8,-,33.88,hk,08502,远航港口,0.31,31,港股,1,,,,,,,,4.29,4.29,,23.31,,0.0,0.37,2.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
9,-,33.88,hk,08481,盛龙锦秀国际,0.32,32,港股,1,,,,,,,,1.54,1.54,,64.94,,0.0,0.36,1.3,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
10,-,33.88,hk,08480,飞霓控股,0.17,17,港股,1,,,,,,,,3.02,3.02,,33.11,,0.0,0.39,1.6,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
11,-,33.88,hk,08473,弥明生活百货,0.10,10,港股,1,,,,,,,,9.08,9.08,,11.01,,0.0,1.48,1.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
