rank,tier,score,market,code,name,price,min_buy,industry,deepest_layer,roe,gross_margin,net_margin,yoy,cagr,ocf_to_profit,debt_ratio,pe_ttm,peg,eyield,exp_ret,discount,pb,market_cap_yi_usd,fail_reasons
1,-,25.97,us,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,10.49,1049,Artius II Acquisition Inc. - Class A Ordinary Shares,0,,,,,,-0.00,112.0,53.27,,1.88,,0.0,1.35,2.9,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
2,-,19.12,us,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",1.01,101,"ATA Creativity Global - American Depositary Shares, each representing two common shares",0,-88.6,48.6,-17.9,-38.9,,0.33,92.2,-6.43,,,,0.0,9.64,0.4,负债率≥70.0%; OCF/净利<0.8; ROE<15.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
3,-,52.19,us,AAL,"American Airlines Group, Inc. - Common Stock",18.18,1817,"American Airlines Group, Inc. - Common Stock",1,-12.5,,1.6,547.2,,4.63,,59.51,0.11,1.68,275.9,48.7,-2.95,120.2,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; 盈收率≤5.0%
4,-,30.02,us,AAME,Atlantic American Corporation - Common Stock,1.72,172,Atlantic American Corporation - Common Stock,1,,,,,,,,6.87,,14.56,,0.0,0.32,0.4,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 预期年化<10.0%; 未打0.3%折
5,-,23.27,us,AAOI,"Applied Optoelectronics, Inc. - Common Stock",151.33,15133,"Applied Optoelectronics, Inc. - Common Stock",0,-25.5,27.1,-25.8,15.6,,0.14,58.1,-280.20,,,,0.0,10.98,121.4,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
6,-,46.52,us,AAON,"AAON, Inc. - Common Stock",128.17,12816,"AAON, Inc. - Common Stock",1,,,,77.0,31.0,0.89,,88.88,2.87,1.13,10.5,197.0,11.24,105.0,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; PEG≥1.0; 盈收率≤5.0%; 未打0.3%折
7,-,27.12,us,AAPG,Ascentage Pharma Group International - American Depository Shares,17.70,1770,Ascentage Pharma Group International - American Depository Shares,1,,,,,,,,-9.35,,,,0.0,8.77,16.5,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
8,-,54.04,us,AAPL,Apple Inc. - Common Stock,285.84,28584,Apple Inc. - Common Stock,0,170.5,44.1,25.3,-2.8,19.1,1.14,84.4,34.25,,2.92,,0.0,39.42,41982.5,负债率≥70.0%; 同比<10.0%; PEG≥1.0; 盈收率≤5.0%; 预期年化<10.0%; 未打0.3%折
9,-,30.98,us,AARD,"Aardvark Therapeutics, Inc. - Common Stock",5.08,508,"Aardvark Therapeutics, Inc. - Common Stock",1,,,,,,0.88,7.0,-1.59,,,,0.0,1.27,1.1,ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
10,-,15.75,us,ABAT,American Battery Technology Company - Common Stock,2.83,282,American Battery Technology Company - Common Stock,0,-95.0,-862.1,-15284.4,-146.0,,0.32,20.9,-6.06,,,,0.0,3.42,3.9,OCF/净利<0.8; ROE<15.0%; 毛利<30.0%; 净利率<10.0%; 同比<10.0%; CAGR<10.0%; PEG≥1.0; 盈收率≤5.0%; PE高于行业中位; 预期年化<10.0%; 未打0.3%折
